frame,state,src,err,curv,speed,steer,light_phase,light,light_area
260,DRIVE,center,0.7276,-0.5108,0.26,-14.48,GO,None,0
261,DRIVE,center,0.7276,-0.5304,0.26,-12.16,GO,None,0
262,DRIVE,center,0.7485,-0.5493,0.26,-13.1,GO,None,0
263,DRIVE,center,0.7167,-0.5297,0.26,-10.95,GO,None,17
264,DRIVE,center,0.7531,-0.5314,0.26,-13.85,GO,None,0
265,DRIVE,center,0.7531,-0.5324,0.26,-12.75,GO,None,0
266,DRIVE,center,0.7141,-0.4941,0.26,-11.03,GO,None,0
267,DRIVE,center,0.7141,-0.4691,0.26,-12.45,GO,None,0
268,DRIVE,center,0.6935,-0.4493,0.26,-11.53,GO,None,0
269,DRIVE,center,0.6907,-0.4799,0.26,-11.69,GO,None,21
270,DRIVE,center,0.7264,-0.4818,0.26,-13.68,GO,None,0
271,DRIVE,center,0.7534,-0.4897,0.26,-14.0,GO,None,0
272,DRIVE,center,0.6843,-0.4687,0.26,-9.66,GO,None,0
273,DRIVE,center,0.6675,-0.4527,0.26,-10.99,GO,None,0
274,DRIVE,center,0.759,-0.4652,0.26,-16.31,GO,None,0
275,DRIVE,center,0.6871,-0.4406,0.26,-9.93,GO,None,0
276,DRIVE,center,0.6766,-0.431,0.26,-11.61,GO,None,0
277,DRIVE,center,0.7063,-0.4639,0.26,-13.2,GO,None,0
278,DRIVE,center,0.6659,-0.4286,0.26,-10.48,GO,None,0
279,DRIVE,center,0.7389,-0.4561,0.26,-15.36,GO,None,0
280,DRIVE,center,0.662,-0.4683,0.26,-8.9,GO,None,0
281,DRIVE,center,0.7055,-0.4741,0.26,-13.5,GO,None,0
282,DRIVE,center,0.6766,-0.4819,0.26,-10.55,GO,None,0
283,DRIVE,center,0.7154,-0.4865,0.26,-13.47,GO,None,0
284,DRIVE,center,0.7476,-0.519,0.26,-13.72,GO,None,0
285,DRIVE,center,0.6822,-0.506,0.26,-9.35,GO,None,0
286,DRIVE,center,0.7092,-0.4938,0.26,-12.89,GO,None,0
